api_count,router_cpu_pct,router_mem_used,controller_cpu_pct,controller_mem_used,policy_cpu_pct,policy_mem_used,http_code
1,0.16%,22.09MiB,0.00%,16.12MiB,0.03%,10.21MiB,201
2,0.19%,24.1MiB,0.00%,16.29MiB,0.03%,10.21MiB,201
3,0.33%,24.1MiB,0.00%,16.42MiB,0.03%,10.21MiB,201
4,0.21%,24.1MiB,0.00%,18.46MiB,0.03%,10.21MiB,201
5,0.17%,24.1MiB,0.00%,18.51MiB,0.04%,10.21MiB,201
6,0.22%,24.1MiB,0.00%,18.61MiB,0.03%,10.21MiB,201
7,0.21%,24.1MiB,0.00%,18.62MiB,0.03%,10.21MiB,201
8,0.25%,24.11MiB,0.00%,18.64MiB,0.03%,10.21MiB,201
9,0.28%,24.11MiB,0.00%,20.68MiB,0.02%,10.21MiB,201
10,0.18%,26.14MiB,0.00%,20.68MiB,0.05%,10.21MiB,201
11,0.23%,26.14MiB,0.00%,20.7MiB,0.03%,10.21MiB,201
12,0.19%,26.14MiB,0.00%,20.72MiB,0.02%,11.04MiB,201
13,0.22%,26.14MiB,0.00%,20.73MiB,0.03%,11.04MiB,201
14,0.30%,26.14MiB,0.00%,20.75MiB,0.03%,11.04MiB,201
15,0.17%,28.14MiB,0.00%,20.79MiB,0.05%,11.04MiB,201
16,0.22%,28.14MiB,0.00%,22.82MiB,0.02%,11.04MiB,201
17,0.18%,28.15MiB,0.00%,22.82MiB,0.03%,11.04MiB,201
18,0.21%,28.15MiB,0.00%,22.82MiB,0.03%,11.04MiB,201
19,0.34%,28.15MiB,0.00%,22.84MiB,0.03%,11.04MiB,201
20,0.18%,28.15MiB,0.00%,24.87MiB,0.05%,11.16MiB,201
21,0.22%,28.15MiB,0.00%,24.87MiB,0.03%,11.16MiB,201
22,0.18%,28.15MiB,0.00%,24.88MiB,0.03%,11.16MiB,201
23,0.21%,28.15MiB,0.00%,24.96MiB,0.03%,11.16MiB,201
24,0.33%,28.15MiB,0.00%,24.96MiB,0.02%,11.16MiB,201
25,0.16%,28.15MiB,0.00%,25.27MiB,0.05%,11.16MiB,201
26,0.17%,28.15MiB,0.00%,25.27MiB,0.03%,11.16MiB,201
27,0.22%,28.15MiB,0.00%,25.31MiB,0.03%,11.16MiB,201
28,0.25%,30.15MiB,0.00%,27.68MiB,0.03%,11.16MiB,201
29,0.31%,30.23MiB,0.00%,27.68MiB,0.03%,11.16MiB,201
30,0.23%,30.24MiB,0.00%,27.52MiB,0.04%,11.16MiB,201
31,0.16%,30.24MiB,0.00%,27.2MiB,0.03%,11.16MiB,201
32,0.21%,30.24MiB,0.00%,27.05MiB,0.03%,11.16MiB,201
33,0.21%,30.24MiB,0.00%,27.05MiB,0.02%,11.16MiB,201
34,0.25%,30.24MiB,0.00%,27.05MiB,0.03%,11.16MiB,201
35,0.23%,30.24MiB,0.00%,28.27MiB,0.03%,11.16MiB,201
36,0.17%,30.24MiB,0.02%,28.41MiB,0.02%,11.16MiB,201
37,0.22%,30.24MiB,0.00%,28.62MiB,0.03%,11.16MiB,201
38,0.20%,30.25MiB,0.00%,28.62MiB,0.03%,11.16MiB,201
39,0.22%,30.25MiB,0.00%,27.73MiB,0.03%,11.16MiB,201
40,0.27%,30.25MiB,0.00%,27.73MiB,0.04%,11.23MiB,201
41,0.17%,32.25MiB,0.04%,27.89MiB,0.03%,11.23MiB,201
42,0.23%,34.25MiB,0.00%,28.22MiB,0.03%,11.23MiB,201
43,0.23%,34.25MiB,0.00%,28.89MiB,0.03%,11.23MiB,201
44,0.18%,34.25MiB,0.00%,31.67MiB,0.03%,11.23MiB,201
45,0.29%,34.25MiB,0.00%,29.67MiB,0.04%,11.23MiB,201
46,0.19%,34.25MiB,0.02%,29.78MiB,0.02%,11.23MiB,201
47,0.22%,34.25MiB,0.00%,30.08MiB,0.02%,11.23MiB,201
48,0.21%,34.25MiB,0.00%,29.62MiB,0.02%,11.23MiB,201
49,0.17%,34.25MiB,0.00%,30.49MiB,0.03%,11.23MiB,201
50,0.28%,34.25MiB,0.00%,29.29MiB,0.04%,11.23MiB,201
